place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,brand
ChIJkXihiD4spg0R8Sd1yM7gZvw,Station Service Afriquia,"P3009, Bouskoura",33.4869679,-7.6735371,3.4,90.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJS9xDFDwspg0RJD_nmKt1F8A,Station Service Petromin,"Route de Bouskoura, Casablanca",33.4851593,-7.672305600000001,3.6,74.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJncnXCjwspg0Ri9l2s9MjsY0,Station Shell Sofia,"P3009, Bouskoura",33.48503759999999,-7.671179099999999,3.7,104.0,OPERATIONAL,"gas_station, point_of_interest, store, establishment",Shell
ChIJjUFEYCQtpg0R2n9f4yKEWEM,Station Service Afriquia,"F9J7+F3M, Bouskoura",33.4815273,-7.638161099999999,4.2,13.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJzWsNVC4vpg0RH1YjZFMW88g,Station Service Yoom,"F972+RFM, Unnamed Road, Bouskoura",33.4652621,-7.647057999999999,3.9,48.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Yoom
ChIJJ4-jLdotpg0RtP3Vn40r5c0,Station Service Afriquia,"F9MF+JQQ, P3026, Bouskoura",33.4839398,-7.6253948,3.7,176.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJF_Umhq8tpg0Rfea1EdHqIz4,Station Service Petromin Oils Bouskoura,"Foret, Bouskoura",33.487632,-7.633623200000001,3.8,34.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJz_pk6Kstpg0RoEXqAs_umac,Station-service YOOM Ville Verte,"Ville verte, Bouskoura",33.4949495,-7.613780900000003,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Yoom
ChIJ3fV3KAAzpg0R8Oa5voOCqms,Total energies,"FCR8+8VX, Bouskoura",33.4908607,-7.582764099999999,3.3,4.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJM9DhDAA1pg0RTPFs92pfpt8,Station Top Petrol,"FFJQ+XFR Al Majjatia Oulad Taleb, Casablanca",33.4824375,-7.511312499999999,5.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Top Petrol
ChIJxe9isrM3pg0ROqQdkDbVUcg,OLA ENERGY CHECK ENERGY,"Province de Mediouna N°9 Ouled Taleb, Mediouna",33.47632379999999,-7.511682699999998,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJGRl76mA1pg0RbYDjDYie4PA,TotalEnergies El Waha,"FFPQ+WV, Al Majjatia Oulad Taleb",33.48844149999999,-7.509953599999998,4.9,14.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJLQMUf2E3pg0R0c2W7e5PI7g,Station shell,"ط و ر 9, الدار البيضاء",33.4663765,-7.5141819,4.3,14.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
